AUDIOTEXT,Trigger,segment,tmin,Order,tmax,cfg.bu,islexical,wordlength,logfreq
Alice,1,1,0.046,1,0.608721,2,1,0.5627,8.65
was,1,1,0.562721,2,0.830543,1,0,0.2219,14.56
beginning,1,1,0.784543,3,1.302929,1,1,0.4723,10.69
to,1,1,1.256929,4,1.398925,1,0,0.096,16.35
get,1,1,1.352925,5,1.662327,1,0,0.2634,13.79
very,1,1,1.616327,6,2.356749,1,1,0.6945,13.28
tired,1,1,2.310749,7,2.845918,2,1,0.4891,9.86
of,1,1,2.799918,8,2.984712,1,0,0.1388,16.21
sitting,1,1,2.938712,9,3.35049,1,1,0.3658,10.08
by,1,1,3.30449,10,3.530082,1,0,0.1796,14.4
her,1,1,3.484082,11,3.700596,1,0,0.1705,13.3
sister,1,1,3.654596,12,4.152667,2,1,0.4521,9.75
on,1,1,4.106667,13,4.320286,1,0,0.1676,15.08
the,1,1,4.274286,14,4.444799,1,0,0.1245,16.96
bank,1,1,4.398799,15,4.831961,8,1,0.3872,12.88
and,1,1,4.785961,16,4.954844,1,0,0.1229,16.19
of,1,1,4.908844,17,5.080329,1,0,0.1254,16.21
having,1,1,5.034329,18,5.481647,1,1,0.4014,12.03
nothing,1,1,5.435647,19,5.936613,2,1,0.4549,11.99
to,1,1,5.890613,20,6.097306,1,0,0.1607,16.35
do,1,1,6.051306,21,6.43947,15,1,0.3422,14.12
once,1,1,7.147755,22,7.426186,1,1,0.2324,12.15
or,1,1,7.380186,23,7.5455,1,0,0.1193,14.78
twice,1,1,7.4995,24,8.003925,2,1,0.4584,10.74
she,1,1,7.957925,25,8.307225,2,0,0.3033,13.1
,99,,,26,,1,0,0,13.53
peeped,1,1,8.261225,27,8.604776,1,1,0.2976,6.48
into,1,1,8.560545,28,8.822055,1,0,0.2155,13.24
the,1,1,8.776055,29,8.92981,1,0,0.1077,16.96
book,1,1,8.88381,30,9.277021,3,1,0.3472,12.16
her,1,1,9.231021,31,9.36083,1,0,0.0838,13.3
sister,1,1,9.31483,32,9.755932,2,1,0.3951,9.75
was,1,1,9.709932,33,10.007361,1,0,0.2515,14.56
reading,1,1,9.961361,34,10.462327,1,1,0.4549,11.54
but,1,1,10.811429,35,10.972947,1,0,0.1156,14.57
it,1,1,10.926947,36,11.060966,2,0,0.088,15.37
had,1,1,11.014966,37,11.33634,1,0,0.2754,13.53
no,1,1,11.29034,38,11.468041,1,0,0.1317,13.96
pictures,1,1,11.422041,39,11.974449,1,1,0.5064,10.46
or,1,1,11.928449,40,12.079452,1,0,0.105,14.78
conversations,1,1,12.033452,41,12.928923,2,1,0.8494,8.44
in,1,1,12.882923,42,13.059482,1,0,0.1306,15.9
it,1,1,13.013482,43,13.260738,11,0,0.2013,15.37
and,1,1,13.777672,44,13.989927,1,0,0.1662,16.19
what,1,1,13.943927,45,14.156704,2,0,0.1668,14.1
’s,1,1,14.110704,46,14.272852,1,0,0.1162,15.68
the,1,1,14.226852,47,14.453012,1,0,0.1801,16.96
use,1,1,14.407012,48,14.772531,2,1,0.3195,13.43
of,1,1,14.726531,49,14.868313,1,0,0.0958,16.21
a,1,1,14.822313,50,15.080115,1,0,0.2118,16.18
book,1,1,15.034115,51,15.476794,2,1,0.3967,12.16
thought,1,1,15.430794,52,15.893213,1,1,0.4164,12.07
Alice,1,1,15.847213,53,16.278225,5,1,0.385,8.65
without,1,1,16.232225,54,16.613652,1,0,0.3355,12.45
pictures,1,1,16.567652,55,17.155154,1,1,0.5415,10.46
or,1,1,17.109154,56,17.312659,1,0,0.1575,14.78
conversation,1,1,17.266659,57,18.321856,11,1,1.0092,8.44
So,1,1,19.526536,58,19.767958,1,0,0.1954,14.05
she,1,1,19.721958,59,19.972131,2,0,0.2041,13.1
was,1,1,19.926131,60,20.22015,1,0,0.2481,14.56
considering,1,1,20.17415,61,20.974436,1,1,0.7543,10.29
in,1,1,20.928436,62,21.070218,1,0,0.0957,15.9
her,1,1,21.024218,63,21.315652,1,0,0.2455,13.3
own,1,1,21.269652,64,21.54913,1,0,0.2334,12.56
mind,1,1,21.50313,65,21.920286,7,1,0.3712,11.78
as,1,1,22.165075,66,22.459062,1,0,0.248,14.79
well,1,1,22.413062,67,22.687249,1,0,0.2282,13.22
as,1,1,22.641249,68,22.782327,2,,0.095,14.79
she,1,1,22.736327,69,22.973891,2,0,0.1916,13.1
could,1,1,22.927891,70,23.428857,1,0,0.455,13.21
for,1,1,23.382857,71,23.56012,1,0,0.1312,15.42
the,1,1,23.51412,72,23.644368,1,0,0.0843,16.96
hot,1,1,23.598368,73,23.943687,1,1,0.2993,10.85
day,1,1,23.897687,74,24.207089,5,1,0.2634,12.38
made,1,1,24.161089,75,24.410626,1,1,0.2035,12.51
her,1,1,24.364626,76,24.529259,2,0,0.1187,13.3
feel,1,1,24.483259,77,24.781783,1,1,0.2525,12
very,1,1,24.735783,78,25.105048,1,1,0.3233,13.28
sleepy,1,1,25.059048,79,25.587189,1,1,0.4821,7.09
and,1,1,25.541189,80,25.726794,1,0,0.1396,16.19
stupid,1,1,25.680794,81,26.338245,2,1,0.6115,10.72
whether,1,1,26.878912,82,27.188313,1,0,0.2634,11.63
the,1,1,27.142313,83,27.360162,1,0,0.1719,16.96
pleasure,1,1,27.314162,84,27.822871,2,1,0.4627,9.73
of,1,1,27.776871,85,27.930626,1,0,0.1077,16.21
making,1,1,27.884626,86,28.301783,1,1,0.3712,11.69
a,1,1,28.255783,87,28.422346,1,0,0.1206,16.18
daisy,1,1,28.376346,88,28.864504,1,1,0.4421,7.19
chain,1,1,28.818504,89,29.23566,6,1,0.3712,10.06
would,1,1,29.297415,90,29.523007,1,0,0.1796,14.06
be,1,1,29.477007,91,29.654708,1,0,0.1317,14.95
worth,1,1,29.608708,92,29.918109,10,1,0.2634,11.31
the,1,1,29.872109,93,30.00505,1,0,0.087,16.96
trouble,1,1,29.95905,94,30.41063,2,1,0.4055,10.81
of,1,1,30.36463,95,30.504776,1,0,0.0942,16.21
getting,1,1,30.458776,96,30.886804,1,1,0.382,11.99
up,1,1,30.840804,97,31.067497,3,0,0.1807,13.74
and,1,1,31.021497,98,31.223122,1,0,0.1556,16.19
picking,1,1,31.177122,99,31.558381,1,1,0.3353,9.07
the,1,1,31.512381,100,31.632956,1,0,0.0746,16.96
daisies,1,1,31.586956,101,32.300694,6,1,0.6677,5.7
when,1,1,32.833264,102,33.081638,2,0,0.2024,13.76
suddenly,1,1,33.035638,103,33.809266,2,1,0.7276,9.96
a,1,1,34.074558,104,34.236765,1,0,0.1162,16.18
White,1,1,34.190765,105,34.611443,1,1,0.3747,11.92
Rabbit,1,1,34.565443,106,35.018517,2,1,0.407,8.66
with,1,1,34.972517,107,35.186136,1,0,0.1677,14.97
pink,1,1,35.140136,108,35.557293,1,1,0.3711,9.48
eyes,1,1,35.511293,109,35.991261,4,1,0.434,10.97
ran,1,1,35.945261,110,36.203823,1,1,0.2125,10.34
close,1,1,36.157823,111,36.610898,2,1,0.4071,11.35
by,1,1,36.564898,112,36.814436,1,0,0.2036,14.4
