Word,Trigger,Segment,onset,offset,Order,LogFreq,LogFreq_Prev,LogFreq_Next,SndPower,Length,Position,Sentence,IsLexical,NGRAM,RNN,CFG
Alice,1,1,0.046,0.608721,1,8.65,0,14.56,3.62E-07,0.562721,1,1,1,3.226499067,3.126175339,2.312348154
was,1,1,0.562721,0.830543,2,14.56,8.65,10.69,3.84E-09,0.267822,2,1,0,0.905228728,1.69112822,1.357460372
beginning,1,1,0.784543,1.302929,3,10.69,14.56,16.35,3.69E-09,0.518386,3,1,1,4.446766167,4.100770654,5.626722017
to,1,1,1.256929,1.398925,4,16.35,10.69,13.79,3.97E-09,0.141996,4,1,0,2.537494638,3.833312728,5.939200987
get,1,1,1.352925,1.662327,5,13.79,16.35,13.28,3.77E-09,0.309402,5,1,0,1.023137244,1.013075589,2.697303864
very,1,1,1.616327,2.356749,6,13.28,13.79,9.86,4.07E-09,0.740422,6,1,1,4.259243326,4.461274164,4.74553241
tired,1,1,2.310749,2.845918,7,9.86,13.28,16.21,3.66E-09,0.535169,7,1,1,2.64914132,3.489756833,4.74965246
of,1,1,2.799918,2.984712,8,16.21,9.86,10.08,3.62E-09,0.184794,8,1,0,1.835435033,2.677026895,2.749431569
sitting,1,1,2.938712,3.35049,9,10.08,16.21,14.4,3.99E-09,0.411778,9,1,1,3.898681251,5.246071843,3.542125458
by,1,1,3.30449,3.530082,10,14.4,10.08,13.3,3.83E-09,0.225592,10,1,0,2.460874367,2.439412517,4.55645942
her,1,1,3.484082,3.700596,11,13.3,14.4,9.75,4.25E-09,0.216514,11,1,0,3.09947518,3.72466334,7.33709007
sister,1,1,3.654596,4.152667,12,9.75,13.3,15.08,3.83E-09,0.498071,12,1,1,0.644822784,0.510962322,4.784661334
on,1,1,4.106667,4.320286,13,15.08,9.75,16.96,3.97E-09,0.213619,13,1,0,2.822781823,2.088793414,2.113473538
the,1,1,4.274286,4.444799,14,16.96,15.08,12.88,3.96E-09,0.170513,14,1,0,1.551038125,1.617728069,4.756522977
bank,1,1,4.398799,4.831961,15,12.88,16.96,16.19,3.93E-09,0.433162,15,1,1,0.824339779,0.8341243,3.9123798
and,1,1,4.785961,4.954844,16,16.19,12.88,16.21,3.84E-09,0.168883,16,1,0,3.148749339,2.808465344,8.766530829
of,1,1,4.908844,5.080329,17,16.21,16.19,12.03,3.49E-09,0.171485,17,1,0,3.817725863,4.385982627,2.523326889
having,1,1,5.034329,5.481647,18,12.03,16.21,11.99,3.63E-09,0.447318,18,1,1,3.58642001,5.111372152,3.862723932
nothing,1,1,5.435647,5.936613,19,11.99,12.03,16.35,4.31E-09,0.500966,19,1,1,4.642029101,4.075084194,3.827823617
to,1,1,5.890613,6.097306,20,16.35,11.99,14.12,3.74E-09,0.206693,20,1,0,5.451483319,4.696513203,3.220382051
do,1,1,6.051306,6.43947,21,14.12,16.35,12.15,3.80E-09,0.388164,21,1,1,0.66195729,0.747471129,2.219615746
once,1,1,7.147755,7.426186,22,12.15,14.12,14.78,4.11E-09,0.278431,1,2,1,4.259243326,4.340029276,4.013905915
or,1,1,7.380186,7.5455,23,14.78,12.15,10.74,3.73E-09,0.165314,2,2,0,4.41524107,4.103663228,8.339421484
twice,1,1,7.4995,8.003925,24,10.74,14.78,13.1,3.70E-09,0.504425,3,2,1,1.875912727,3.579937238,3.510603518
she,1,1,7.957925,8.307225,25,13.1,10.74,13.53,3.97E-09,0.3493,4,2,0,2.205315117,3.360415445,1.687009856
peeped,1,1,8.261225,8.604776,27,6.48,13.53,13.24,3.82E-09,0.343551,5,2,1,3.654884948,3.855038534,3.989716141
into,1,1,8.560545,8.822055,28,13.24,6.48,16.96,4.01E-09,0.26151,6,2,0,1.938248707,2.231433148,4.304196131
the,1,1,8.776055,8.92981,29,16.96,13.24,12.16,3.47E-09,0.153755,7,2,0,1.393761439,1.179505409,3.883794254
book,1,1,8.88381,9.277021,30,12.16,16.96,13.3,3.96E-09,0.393211,8,2,1,0.824339779,0.826050458,4.402728359
her,1,1,9.231021,9.36083,31,13.3,12.16,9.75,4.18E-09,0.129809,9,2,0,8.422283615,7.757932029,7.68133723
sister,1,1,9.31483,9.755932,32,9.75,13.3,14.56,3.75E-09,0.441102,10,2,1,0.416480091,0.497410785,3.417530454
was,1,1,9.709932,10.007361,33,14.56,9.75,11.54,3.85E-09,0.297429,11,2,0,3.237820197,2.986597372,1.919235746
reading,1,1,9.961361,10.462327,34,11.54,14.56,14.57,3.86E-09,0.500966,12,2,1,3.645284576,3.793898351,4.676618977
but,1,1,10.811429,10.972947,35,14.57,11.54,15.37,4.14E-09,0.161518,13,2,0,4.181344112,4.644046277,8.917347763
it,1,1,10.926947,11.060966,36,15.37,14.57,13.53,4.02E-09,0.134019,14,2,0,3.043344561,2.35986458,1.709409826
had,1,1,11.014966,11.33634,37,13.53,15.37,13.96,4.28E-09,0.321374,15,2,0,0.980686324,1.766234132,1.46834649
no,1,1,11.29034,11.468041,38,13.96,13.53,10.46,3.77E-09,0.177701,16,2,0,2.991921114,2.67575161,4.306047726
pictures,1,1,11.422041,11.974449,39,10.46,13.96,14.78,3.77E-09,0.552408,17,2,1,5.255190588,4.47963629,5.430814996
or,1,1,11.928449,12.079452,40,14.78,10.46,8.44,3.64E-09,0.151003,18,2,0,3.658539069,3.265279924,8.659312032
conversations,1,1,12.033452,12.928923,41,8.44,14.78,15.9,4.07E-09,0.895471,19,2,1,1.987502935,5.864179588,5.079724226
in,1,1,12.882923,13.059482,42,15.9,8.44,15.37,3.96E-09,0.176559,20,2,0,2.323373119,2.711736703,2.196946528
it,1,1,13.013482,13.260738,43,15.37,15.9,16.19,3.87E-09,0.247256,21,2,0,2.23092386,2.019347876,1.684899432
and,1,1,13.777672,13.989927,44,16.19,15.37,14.1,3.74E-09,0.212255,22,2,0,3.973424633,4.785308576,8.738636541
what,1,1,13.943927,14.156704,45,14.1,16.19,15.68,3.56E-09,0.212777,23,2,0,7.307112353,6.171358021,4.56162285
s,1,1,14.110704,14.272852,46,15.68,14.1,16.96,3.94E-09,0.162148,24,2,0,0.779051933,4.874016337,3.825143428
the,1,1,14.226852,14.453012,47,16.96,15.68,13.43,4.29E-09,0.22616,25,2,0,1.955639001,2.45861997,4.111168498
use,1,1,14.407012,14.772531,48,13.43,16.96,16.21,4.02E-09,0.365519,26,2,1,0.941321477,1.202239854,3.651082168
of,1,1,14.726531,14.868313,49,16.21,13.43,16.18,3.63E-09,0.141782,27,2,0,1.877723178,2.010191737,2.15584151
a,1,1,14.822313,15.080115,50,16.18,16.21,12.16,3.95E-09,0.257802,28,2,0,1.551038125,1.51137357,3.783790563
book,1,1,15.034115,15.476794,51,12.16,16.18,12.07,3.84E-09,0.442679,29,2,1,0.824339779,0.84927324,3.239260615
thought,1,1,15.430794,15.893213,52,12.07,12.16,8.65,3.69E-09,0.462419,1,3,1,6.377570434,6.929198313,3.414764953
Alice,1,1,15.847213,16.278225,53,8.65,12.07,12.45,3.52E-09,0.431012,2,3,1,5.814071771,5.095413153,3.441557711
without,1,1,16.232225,16.613652,54,12.45,8.65,10.46,3.61E-09,0.381427,3,3,0,1.795419087,3.325288725,2.282073324
pictures,1,1,16.567652,17.155154,55,10.46,12.45,14.78,3.51E-09,0.587502,4,3,1,6.167259166,4.999120801,4.737181173
or,1,1,17.109154,17.312659,56,14.78,10.46,8.44,3.83E-09,0.203505,5,3,0,2.389715345,3.287260904,8.682440359
conversation,1,1,17.266659,18.321856,57,8.44,14.78,14.05,3.84E-09,1.055197,6,3,1,1.987502935,5.828035688,4.53449027
So,1,1,19.526536,19.767958,58,14.05,8.44,13.1,3.70E-09,0.241422,1,4,0,3.941534123,4.799170057,4.244906395
she,1,1,19.721958,19.972131,59,13.1,14.05,14.56,3.78E-09,0.250173,2,4,0,1.407434495,1.558385728,0.329808417
was,1,1,19.926131,20.22015,60,14.56,13.1,10.29,1.46E-08,0.294019,3,4,0,1.219911654,1.380404552,1.287041419
considering,1,1,20.17415,20.974436,61,10.29,14.56,15.9,0.012323,0.800286,4,4,1,3.802444994,3.806685955,5.501232222
in,1,1,20.928436,21.070218,62,15.9,10.29,13.3,0.00017013,0.141782,5,4,0,1.933425268,2.078576588,5.023745557
her,1,1,21.024218,21.315652,63,13.3,15.9,12.56,0.012918,0.291434,6,4,0,3.09947518,3.789882093,7.62903759
own,1,1,21.269652,21.54913,64,12.56,13.3,11.78,0.0017603,0.279478,7,4,0,3.476231655,3.98461913,4.586451799
mind,1,1,21.50313,21.920286,65,11.78,12.56,14.79,0.0060602,0.417156,8,4,1,0.601837035,0.801817402,4.315029851
as,1,1,22.165075,22.459062,66,14.79,11.78,13.22,0.014015,0.293987,9,4,0,4.20964694,4.585672019,3.150811401
well,1,1,22.413062,22.687249,67,13.22,14.79,14.79,0.0015584,0.274187,10,4,0,2.948975228,2.922925375,3.602696961
as,1,1,22.641249,22.782327,68,14.79,13.22,13.1,0.006255,0.141078,11,4,NaN,1.917284019,3.041963366,3.504291429
she,1,1,22.736327,22.973891,69,13.1,14.79,13.21,0.0058643,0.237564,12,4,0,1.66344885,1.841941404,2.019423033
could,1,1,22.927891,23.428857,70,13.21,13.1,15.42,5.30E-05,0.500966,13,4,0,3.150307324,3.084353608,4.069019877
for,1,1,23.382857,23.56012,71,15.42,13.21,16.96,0.015868,0.177263,14,4,0,5.97488631,5.128347588,3.160378917
the,1,1,23.51412,23.644368,72,16.96,15.42,10.85,0.0081857,0.130248,15,4,0,1.602773833,1.447128375,4.748859484
hot,1,1,23.598368,23.943687,73,10.85,16.96,12.38,0.020678,0.345319,16,4,1,2.414520182,2.499490879,4.457872599
day,1,1,23.897687,24.207089,74,12.38,10.85,12.51,0.001269,0.309402,17,4,1,0.515633001,0.805001185,4.138032689
made,1,1,24.161089,24.410626,75,12.51,12.38,13.3,0.0035437,0.249537,18,4,1,3.256944538,3.275195942,1.604564564
her,1,1,24.364626,24.529259,76,13.3,12.51,12,0.0016983,0.164633,19,4,0,4.967212642,4.034876672,1.999610731
feel,1,1,24.483259,24.781783,77,12,13.3,13.28,0.0082253,0.298524,20,4,1,3.667342178,2.578881104,2.379690535
very,1,1,24.735783,25.105048,78,13.28,12,7.09,1.32E-05,0.369265,21,4,1,2.290951101,2.322470578,3.710820522
sleepy,1,1,25.059048,25.587189,79,7.09,13.28,16.19,0.0010982,0.528141,22,4,1,3.112952242,3.599543388,4.837428395
and,1,1,25.541189,25.726794,80,16.19,7.09,10.72,0.005671,0.185605,23,4,0,3.085978186,4.279476223,8.852300061
stupid,1,1,25.680794,26.338245,81,10.72,16.19,11.63,1.19E-05,0.657451,24,4,1,2.290951101,4.606050886,4.842486368
whether,1,1,26.878912,27.188313,82,11.63,10.72,16.96,9.07E-07,0.309401,25,4,0,2.130727865,3.19676635,2.452163686
the,1,1,27.142313,27.360162,83,16.96,11.63,9.73,3.02E-06,0.217849,26,4,0,2.050686008,1.677212869,4.673725742
pleasure,1,1,27.314162,27.822871,84,9.73,16.96,16.21,0.0026486,0.508709,27,4,1,0.824339779,0.805339212,4.322545249
of,1,1,27.776871,27.930626,85,16.21,9.73,11.69,0.009104,0.153755,28,4,0,1.877723178,2.130644788,2.129905449
making,1,1,27.884626,28.301783,86,11.69,16.21,16.18,0.0035731,0.417157,29,4,1,4.029100148,4.565501855,3.664783189
a,1,1,28.255783,28.422346,87,16.18,11.69,7.19,2.81E-06,0.166563,30,4,0,2.975447673,2.839601548,4.427021227
daisy,1,1,28.376346,28.864504,88,7.19,16.18,10.06,0.0081461,0.488158,31,4,1,0.82456567,1.111766563,4.382480212
chain,1,1,28.818504,29.23566,89,10.06,7.19,14.06,0.0010658,0.417156,32,4,1,0,0,0
would,1,1,29.297415,29.523007,90,14.06,10.06,14.95,0.0018934,0.225592,33,4,0,6.470684078,6.883958954,4.352428549
be,1,1,29.477007,29.654708,91,14.95,14.06,11.31,0.0060536,0.177701,34,4,0,0.345397474,0.90164324,2.819021371
worth,1,1,29.608708,29.918109,92,11.31,14.95,16.96,6.62E-05,0.309401,35,4,1,4.393748195,4.958743558,4.900641713
the,1,1,29.872109,30.00505,93,16.96,11.31,10.81,0.0017416,0.132941,36,4,0,4.576786433,5.037035452,4.682053596
trouble,1,1,29.95905,30.41063,94,10.81,16.96,16.21,0.0006692,0.45158,37,4,1,2.060336209,0.799792954,4.419825829
of,1,1,30.36463,30.504776,95,16.21,10.81,11.99,0.00055254,0.140146,38,4,0,1.877723178,2.020470092,2.133733399
getting,1,1,30.458776,30.886804,96,11.99,16.21,13.74,1.02E-06,0.428028,39,4,1,4.029100148,4.490910891,3.613912013
up,1,1,30.840804,31.067497,97,13.74,11.99,16.19,0.00011781,0.226693,40,4,0,3.975451009,5.431393306,6.5228967
