praatword,parsedword,k_10distance,k_10surprisal,k_10entropy,k_10Hdelta,k_20distance,k_20surprisal,k_20entropy,k_20Hdelta,k_40distance,k_40surprisal,k_40entropy,k_40Hdelta,k_60distance,k_60surprisal,k_60entropy,k_60Hdelta,k_80distance,k_80surprisal,k_80entropy,k_80Hdelta,k_100distance,k_100surprisal,k_100entropy,k_100Hdelta
alice,alice,9,3.274749,0.998663,0.998663,9,3.267902,1.024682,1.02468,9,3.264799,1.043274,1.04327,9,3.26329,1.047088,1.04709,9,3.262622,1.04987,1.04987,9,3.262229,1.051383,1.05138
was,was,11,2.6563,1.215366,0.216703,11,2.656069,1.263123,0.238441,11,2.656886,1.279434,0.23616,12,2.657433,1.287795,0.240707,12,2.657514,1.293352,0.243482,12,2.65758,1.29645,0.245067
beginning,beginning,11,3.747124,1.211227,-0.004139,11,3.74528,1.268083,0.00496,11,3.744396,1.292093,0.012659,11,3.743237,1.311037,0.023242,12,3.743167,1.317437,0.024085,13,3.743198,1.320409,0.023959
to,to,12,0.487834,1.28733,0.076103,12,0.485829,1.336355,0.068272,12,0.484048,1.360857,0.068764,12,0.484416,1.375847,0.06481,12,0.484154,1.381406,0.063969,12,0.483873,1.383712,0.063303
get,get,13,3.55064,1.176208,-0.111122,13,3.55281,1.228387,-0.107968,15,3.55385,1.258493,-0.102364,15,3.553896,1.27388,-0.101967,15,3.554045,1.280943,-0.100463,15,3.554173,1.285123,-0.098589
very,very,14,5.852123,2.171639,0.995431,14,5.77131,2.340416,1.11203,14,5.732191,2.510807,1.25231,14,5.720036,2.567838,1.29396,15,5.712388,2.614486,1.33354,15,5.706977,2.636792,1.35167
tired,tired,16,5.365696,1.26428,-0.907359,17,5.34344,1.623422,-0.716994,17,5.354755,1.774534,-0.736273,17,5.359691,1.83073,-0.737108,17,5.36451,1.854731,-0.759755,17,5.36445,1.89369,-0.743102
of,of,16,1.100199,1.349444,0.085164,16,1.033001,1.846122,0.2227,16,1.010185,2.049094,0.27456,16,1.00541,2.113766,0.283036,17,1.003488,2.140425,0.285694,17,1.002192,2.183422,0.289732
sitting,sitting,18,9.251705,1.32216,-0.027284,18,8.963438,2.039602,0.19348,18,8.9015,2.459232,0.410138,18,8.890753,2.556931,0.443165,18,8.879174,2.63797,0.497545,18,8.869551,2.716061,0.532639
by,by,19,4.079961,1.178294,-0.143866,20,4.131313,1.885763,-0.153839,20,4.139901,2.281221,-0.178011,20,4.144816,2.368658,-0.188273,20,4.148264,2.433678,-0.204292,20,4.150035,2.507871,-0.20819
her,her,16,2.576713,1.521887,0.343593,16,2.597806,2.212721,0.326958,16,2.601681,2.604362,0.323141,16,2.593027,2.690259,0.321601,17,2.588927,2.757393,0.323715,17,2.588237,2.830716,0.322845
sister,sister,21,5.888321,1.697572,0.175685,22,5.88856,2.360023,0.147302,22,5.891393,2.719694,0.115332,22,5.878087,2.89621,0.205951,22,5.872889,3.003358,0.245965,22,5.871546,3.085711,0.254995
on,on,21,4.607783,1.944595,0.247023,22,4.609909,2.595013,0.23499,22,4.610299,2.958264,0.23857,22,4.580506,3.218666,0.322456,22,4.565849,3.375545,0.372187,22,4.56272,3.467453,0.381742
the,the,6,1.400326,2.276779,0.332184,6,1.401484,2.928876,0.333863,6,1.374613,3.26641,0.308146,6,1.366199,3.518363,0.299697,6,1.360406,3.664345,0.2888,6,1.356699,3.750468,0.283015
bank,bank,24,5.663475,1.666633,-0.610146,24,5.680707,2.265145,-0.663731,24,5.683225,2.677325,-0.589085,24,5.689627,2.928615,-0.589748,25,5.696028,3.072502,-0.591843,25,5.700365,3.158939,-0.591529
and,and,18,1.953615,2.826623,1.15999,18,1.938752,3.443948,1.1788,15,1.871086,3.867099,1.18977,15,1.849173,4.183994,1.25538,15,1.831857,4.334138,1.26164,15,1.809198,4.432689,1.27375
of,of,23,5.405854,1.90893,-0.917693,23,5.366915,2.594811,-0.849137,23,5.463551,2.881995,-0.985104,23,5.49255,3.103983,-1.08001,23,5.504055,3.264596,-1.06954,23,5.515883,3.38647,-1.04622
having,having,11,5.943245,1.766877,-0.142053,11,5.954583,2.459148,-0.135663,11,5.963533,2.736175,-0.14582,19,5.969418,2.939192,-0.164791,19,5.969235,3.094576,-0.17002,20,5.96537,3.232212,-0.154258
nothing,nothing,13,6.333919,2.193633,0.426756,13,6.277067,2.946964,0.487816,13,6.220924,3.270136,0.533961,21,6.215226,3.455819,0.516627,21,6.207592,3.633335,0.538759,22,6.206722,3.755032,0.52282
to,to,14,3.482082,2.55735,0.363717,14,3.461827,3.356464,0.4095,14,3.380085,3.733298,0.463162,14,3.358118,3.915659,0.45984,14,3.348615,4.068337,0.435002,14,3.337991,4.204216,0.449184
do,do,14,3.946453,1.21644,-1.34091,14,3.898627,2.058147,-1.29832,16,3.917489,2.530778,-1.20252,17,3.891268,2.837433,-1.07823,17,3.879994,3.054024,-1.01431,17,3.873192,3.207478,-0.996738
once,once,16,9.379212,2.063903,0.847463,16,9.380596,2.610118,0.551971,18,9.15722,3.198488,0.66771,18,9.05146,3.570195,0.732762,18,8.987419,3.813638,0.759614,18,8.936844,3.994971,0.787493
or,or,17,6.020534,2.262903,0.199,17,5.41793,2.115485,-0.494633,17,5.543635,2.78772,-0.410768,17,5.527866,3.131384,-0.438811,17,5.433071,3.364218,-0.44942,17,5.460408,3.561292,-0.433679
twice,twice,17,4.570388,1.091687,-1.17122,17,5.317292,1.610461,-0.505024,17,5.301386,2.14803,-0.63969,17,5.410374,2.416066,-0.715318,17,5.490185,2.738506,-0.625712,17,5.487553,2.873904,-0.687388
she,she,13,3.882535,2.577407,1.48572,13,3.933479,3.056059,1.4456,13,3.842863,3.636186,1.48816,13,3.849905,3.858773,1.44271,13,3.92218,4.100531,1.36203,13,3.899555,4.304844,1.43094
had,had,10,3.253555,2.408083,-0.169324,11,3.003923,2.992881,-0.063178,11,3.004426,3.623495,-0.012691,12,2.944841,3.930118,0.071345,13,2.935278,4.126714,0.026183,18,2.938225,4.304451,-0.000393
peeped,peeped,19,10.380602,0.337861,-2.07022,19,10.110871,1.020122,-1.97276,19,10.08623,1.667479,-1.95602,19,10.015842,2.052257,-1.87786,19,9.916712,2.327742,-1.79897,19,9.861289,2.547141,-1.75731
into,into,12,3.679788,0.250137,-0.087724,12,3.680755,0.947609,-0.072513,19,3.674235,1.595634,-0.071845,19,3.678281,1.98517,-0.067087,19,3.689309,2.25909,-0.068652,19,3.680467,2.477703,-0.069438
the,the,5,1.184592,0.882098,0.631961,5,1.193204,1.572018,0.624409,5,1.187465,2.222694,0.62706,5,1.188425,2.609971,0.624801,5,1.188188,2.882819,0.623729,5,1.187179,3.102058,0.624355
book,book,14,6.722933,0.872753,-0.009345,15,6.578133,1.516286,-0.055732,16,6.607371,2.178282,-0.044412,16,6.589182,2.570618,-0.039353,16,6.590476,2.844834,-0.037985,16,6.595644,3.068604,-0.033454
her,her,13,6.246119,1.971934,1.09918,14,6.190296,2.599425,1.08314,15,6.181729,3.317139,1.13886,15,6.179131,3.696114,1.1255,15,6.190117,3.975523,1.13069,15,6.224809,4.222513,1.15391
sister,sister,16,5.002748,1.690025,-0.281909,17,4.99767,2.339724,-0.259701,18,5.012308,3.012412,-0.304727,18,5.008436,3.41102,-0.285094,18,5.003617,3.68798,-0.287543,18,5.004678,3.922753,-0.29976
was,was,14,2.61147,1.46334,-0.226685,15,2.795789,2.01209,-0.327634,16,2.772924,2.714577,-0.297835,16,2.798312,3.069987,-0.341033,16,2.793252,3.353009,-0.334971,16,2.763315,3.636655,-0.286098
reading,reading,16,5.705782,1.372069,-0.091271,17,5.713642,1.959543,-0.052547,18,5.730152,2.551844,-0.162733,18,5.752682,2.850244,-0.219743,18,5.742191,3.182051,-0.170958,18,5.739068,3.456421,-0.180234
but,but,17,3.730427,2.086976,0.714907,18,4.086591,2.951566,0.992023,19,4.070577,3.582497,1.03065,19,4.120508,3.953355,1.10311,19,4.101652,4.233481,1.05143,19,3.898488,4.38114,0.924719
it,it,9,2.574475,2.014208,-0.072768,9,2.688808,2.789588,-0.161978,9,2.688972,3.369989,-0.212508,9,2.718566,3.73603,-0.217325,9,2.710533,4.018567,-0.214914,9,2.656006,4.232207,-0.148933
had,had,14,2.996794,1.807415,-0.206793,14,2.945281,2.526299,-0.263289,14,2.940036,3.130093,-0.239896,14,2.931922,3.478424,-0.257606,14,2.941004,3.753805,-0.264762,14,2.971036,4.012982,-0.219225
no,no,11,4.027008,2.417172,0.609757,11,4.109784,3.111545,0.585246,11,4.106869,3.744546,0.614453,11,4.11952,4.0992,0.620776,11,4.104281,4.368716,0.614911,11,4.062228,4.607333,0.594351
pictures,<UNK>,8,2.286139,2.214857,-0.202315,8,2.309574,2.869445,-0.2421,8,2.307955,3.478932,-0.265614,8,2.305363,3.829535,-0.269665,8,2.301161,4.123294,-0.245422,8,2.297944,4.374053,-0.23328
or,or,13,5.055256,1.760065,-0.454792,13,4.996108,2.415369,-0.454076,14,4.986098,3.111047,-0.367885,14,4.978868,3.453934,-0.375601,14,4.979389,3.748,-0.375294,14,4.994402,3.925858,-0.448195
conversations,<UNK>,7,3.241926,2.576351,0.816286,7,3.087432,3.200956,0.785587,7,3.053997,3.84897,0.737923,7,3.025588,4.152699,0.698765,7,3.041993,4.469231,0.721231,7,3.223094,4.826387,0.900529
in,in,14,3.46157,1.956411,-0.61994,14,3.496686,2.765564,-0.435392,14,3.518769,3.381352,-0.467618,14,3.514095,3.737257,-0.415442,14,3.529482,4.014079,-0.455152,15,3.481212,4.229468,-0.596919
it,it,11,3.457252,1.59451,-0.361901,10,3.434719,2.516987,-0.248577,10,3.463611,3.087427,-0.293925,10,3.454653,3.50522,-0.232037,10,3.45796,3.753788,-0.260291,10,3.416291,3.9559,-0.273568
and,and,14,1.682883,1.522574,-0.071936,14,1.885208,2.340292,-0.176695,14,1.891591,2.851796,-0.235631,14,1.908466,3.273106,-0.232114,14,1.900271,3.499485,-0.254303,14,1.767402,3.770232,-0.185668
what,what,13,6.087498,2.376042,0.853468,15,5.931915,2.846831,0.506539,15,5.947148,3.444603,0.592807,15,5.932749,3.807635,0.534529,15,5.94219,4.079494,0.580009,15,6.041739,4.445124,0.674892
is,is,10,4.006613,1.844547,-0.531495,10,3.815323,2.474585,-0.372246,10,3.842083,3.052544,-0.392059,10,3.827477,3.398588,-0.409047,10,3.847344,3.666378,-0.413116,10,3.925331,3.985932,-0.459192
the,the,7,2.70144,3.047922,1.20337,7,2.694724,3.671719,1.19713,7,2.666413,4.252918,1.20037,7,2.650872,4.601871,1.20328,7,2.649257,4.875858,1.20948,7,2.687992,5.190062,1.20413
use,use,14,6.040198,1.716759,-1.33116,14,6.147157,2.347298,-1.32442,14,6.150258,2.921499,-1.33142,14,6.133303,3.333263,-1.26861,14,6.116633,3.620398,-1.25546,14,6.056518,3.837777,-1.35229
of,of,13,2.659204,1.374068,-0.342691,13,2.621446,2.005354,-0.341944,13,2.627486,2.566125,-0.355374,13,2.621151,2.99986,-0.333403,13,2.622182,3.297518,-0.32288,13,2.656554,3.49674,-0.341037
a,a,10,2.83997,1.962548,0.58848,10,2.849639,2.605819,0.600465,10,2.847355,3.17027,0.604145,10,2.848363,3.602539,0.602679,10,2.848368,3.900273,0.602755,10,2.84172,4.092688,0.595948
book,book,16,5.517898,1.989499,0.026951,16,5.519698,2.629557,0.023738,16,5.51692,3.200001,0.029731,16,5.518268,3.625116,0.022577,16,5.518364,3.917841,0.017568,16,5.520353,4.118388,0.0257
thought,thought,15,6.304834,2.106745,0.117246,15,6.569298,2.643901,0.014344,15,6.405179,3.37933,0.179329,15,6.425018,3.746592,0.121476,15,6.398676,4.06165,0.143809,15,6.148157,4.393328,0.27494
alice,alice,11,1.447534,2.57244,0.465695,12,1.412599,3.100229,0.456328,12,1.410993,3.814535,0.435205,11,1.403912,4.228687,0.482095,11,1.408533,4.510599,0.448949,11,1.391213,4.812944,0.419616
without,without,12,5.844396,1.220925,-1.35151,12,5.827742,2.045453,-1.05478,12,5.834112,2.745835,-1.0687,12,5.817173,3.183071,-1.04562,12,5.820262,3.449823,-1.06078,13,5.777036,3.737798,-1.07515
pictures,<UNK>,5,1.370458,1.61626,0.395335,5,1.354384,2.411798,0.366345,5,1.341178,3.120543,0.374708,5,1.339818,3.549154,0.366083,5,1.348472,3.812152,0.362329,5,1.339675,4.111608,0.37381
or,or,13,8.10752,1.855361,0.239101,14,8.368804,2.23713,-0.174668,14,8.35787,2.963983,-0.15656,14,8.512631,3.222562,-0.326592,14,8.465939,3.531769,-0.280383,14,8.654617,3.753009,-0.358599
conversations,<UNK>,5,1.758462,1.557971,-0.29739,6,1.744283,1.80289,-0.43424,5,1.74148,2.536438,-0.427545,6,1.807845,2.65275,-0.569812,6,1.792147,2.99171,-0.540059,6,1.836743,3.147548,-0.605461
so,so,9,4.346065,0.784073,-0.773898,9,4.328112,0.845999,-0.956891,9,4.319905,0.886707,-1.64973,9,4.316795,0.902531,-1.75022,9,4.315502,0.908278,-2.08343,9,4.314667,0.912005,-2.23554
she,she,9,1.467995,0.628524,-0.155549,9,1.477702,0.660214,-0.185785,9,1.482362,0.68242,-0.204287,9,1.48412,0.689292,-0.213239,9,1.484828,0.693111,-0.215167,9,1.485305,0.695358,-0.216647
was,was,10,2.584936,1.010506,0.381982,11,2.575398,1.069193,0.408979,11,2.573222,1.100671,0.418251,12,2.5726,1.113474,0.424182,11,2.572381,1.119053,0.425942,11,2.57223,1.122696,0.427338
considering,<UNK>,5,3.313293,2.082343,1.07184,6,3.243754,2.288236,1.21904,6,3.204377,2.397784,1.29711,6,3.187346,2.446203,1.33273,6,3.176983,2.473775,1.35472,6,3.17029,2.488814,1.36612
in,in,13,3.259825,1.52962,-0.552723,13,3.282742,1.878893,-0.409343,13,3.276572,2.098118,-0.299666,13,3.271088,2.199357,-0.246846,13,3.272242,2.257096,-0.216679,13,3.271158,2.306717,-0.182097
her,her,12,2.970927,1.749097,0.219477,12,2.961568,2.049029,0.170136,12,2.948763,2.292502,0.194384,12,2.946071,2.424168,0.224811,12,2.942637,2.480526,0.22343,13,2.941698,2.528954,0.222237
own,own,15,4.937373,1.481362,-0.267735,15,4.922748,1.83189,-0.217139,15,4.930752,2.100371,-0.192131,15,4.928628,2.254873,-0.169295,15,4.929022,2.331848,-0.148678,15,4.92818,2.392949,-0.136005
mind,mind,15,8.183156,1.577915,0.096553,15,8.158113,1.966631,0.134741,15,8.149104,2.250829,0.150458,15,8.149687,2.387808,0.132935,15,8.146256,2.478733,0.146885,15,8.140517,2.561135,0.168186
as,as,13,2.548282,2.104202,0.526287,13,2.580324,2.380917,0.414286,13,2.576964,2.584061,0.333232,12,2.579306,2.681153,0.293345,12,2.579016,2.756868,0.278135,12,2.583497,2.802456,0.241321
well,well,9,9.406634,1.764961,-0.339241,12,7.052973,0.613113,-1.7678,12,5.366614,1.584042,-1.00002,12,4.922623,2.273789,-0.407364,14,4.85935,2.428322,-0.328546,14,4.804801,2.59753,-0.204926
as,as,10,4.692834,2.451016,0.686055,10,2.755834,1.32585,0.712737,9,0.718351,1.026103,-0.557939,9,0.627464,1.956971,-0.316818,9,0.604321,2.165004,-0.263318,9,0.647656,2.252186,-0.345344
she,she,9,1.033181,1.477527,-0.973489,10,0.95557,0.633046,-0.692804,9,0.848141,0.889979,-0.136124,9,0.838811,1.813922,-0.143049,9,0.83839,2.029021,-0.135983,9,0.838547,2.10691,-0.145276
could,could,14,2.147369,1.431582,-0.045945,13,2.033006,0.574578,-0.058468,13,2.017537,0.938471,0.048492,15,1.985116,1.866037,0.052115,15,1.984231,2.080764,0.051743,15,1.980624,2.161955,0.055045
for,for,15,6.132596,2.235161,0.803579,14,5.534221,1.832192,1.25761,15,5.526752,2.354921,1.41645,16,5.543443,3.319814,1.45378,16,5.537572,3.535732,1.45497,16,5.530868,3.627894,1.46594
the,the,7,1.904658,2.588218,0.353057,6,1.834174,2.289807,0.457615,6,1.827978,2.814806,0.459885,6,1.841131,3.672227,0.352413,6,1.839871,3.910428,0.374696,6,1.838076,4.023699,0.395805
hot,hot,17,9.722204,2.030218,-0.558,16,9.866302,1.920467,-0.36934,16,9.737879,2.343066,-0.47174,18,9.726714,3.226614,-0.445613,18,9.728667,3.471341,-0.439087,18,9.729932,3.550308,-0.473391
day,day,17,5.499219,1.937895,-0.092323,16,5.491208,1.953358,0.032891,16,5.462923,2.331227,-0.011839,18,5.463505,3.197501,-0.029113,18,5.463417,3.432816,-0.038525,18,5.46448,3.54129,-0.009018
made,made,16,7.854172,1.267168,-0.670727,15,7.428766,1.440127,-0.513231,15,7.580537,2.13437,-0.196857,17,7.661372,2.76155,-0.435951,17,7.635827,3.057473,-0.375343,17,7.606988,3.226318,-0.314972
her,her,12,3.665386,2.167617,0.900449,12,3.657495,2.405762,0.965635,12,3.571811,3.100105,0.965735,12,3.609852,3.722933,0.961383,12,3.613963,3.999352,0.941879,14,3.609216,4.1633,0.936982
feel,feel,13,12.852587,0.990884,-1.17673,14,12.684703,1.486063,-0.919699,15,12.687561,2.266739,-0.833366,15,12.743902,2.724629,-0.998304,15,12.757848,2.972865,-1.02649,16,12.719086,3.212108,-0.951192
very,very,11,4.291748,1.82458,0.833696,11,4.230923,2.292296,0.806233,11,4.32697,2.959584,0.692845,11,4.283112,3.541956,0.817327,11,4.269666,3.804403,0.831538,11,4.293082,3.988233,0.776125
sleepy,sleepy,16,5.149976,1.1223,-0.70228,16,5.169307,1.668994,-0.623302,16,5.173602,2.277362,-0.682222,16,5.164791,2.875915,-0.666041,16,5.164206,3.143318,-0.661085,16,5.16402,3.31845,-0.669783
and,and,14,3.129942,1.740007,0.617707,14,3.005934,2.499777,0.830783,15,2.990621,3.068955,0.791593,14,3.071966,3.535943,0.660028,15,3.074904,3.773692,0.630374,15,3.081298,3.956094,0.637644
stupid,stupid,9,9.693766,0.85084,-0.889167,9,9.719788,1.42917,-1.07061,9,9.727599,2.048233,-1.02072,9,9.727115,2.513491,-1.02245,9,9.720102,2.771434,-1.00226,15,9.69572,2.970667,-0.985427
whether,whether,15,5.830449,1.434101,0.583261,15,5.85178,1.959797,0.530627,15,5.864464,2.601385,0.553152,15,5.857309,3.081427,0.567936,16,5.893982,3.301014,0.52958,16,5.892049,3.507038,0.536371
the,the,6,2.2921,1.851262,0.417161,6,2.268235,2.423958,0.464161,6,2.26646,3.044661,0.443276,6,2.27419,3.517609,0.436182,6,2.270491,3.738464,0.43745,6,2.270943,3.940813,0.433775
pleasure,<UNK>,6,2.895248,1.683145,-0.168117,6,2.896671,2.309833,-0.114125,6,2.890131,2.931072,-0.113589,6,2.890871,3.389336,-0.128273,6,2.889185,3.615568,-0.122896,6,2.888622,3.818345,-0.122468
of,of,10,2.777705,0.570065,-1.11308,10,2.736423,1.214538,-1.09529,10,2.783394,1.74134,-1.18973,10,2.754167,2.285951,-1.10339,10,2.782075,2.42936,-1.18621,13,2.772946,2.652653,-1.16569
making,making,14,10.873466,1.283453,0.713388,14,10.8868,1.924865,0.710327,19,10.875339,2.505309,0.763969,18,10.885734,3.001938,0.715987,19,10.877328,3.172191,0.742831,19,10.875784,3.394991,0.742338
a,a,8,2.562343,1.785919,0.502466,8,2.56605,2.419861,0.494996,8,2.562384,3.01074,0.505431,8,2.562635,3.512422,0.510484,8,2.559931,3.678145,0.505954,8,2.559664,3.90264,0.507649
daisy,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
chain,<UNK>,7,1.758736,1.67062,-0.115299,8,1.75781,2.298354,-0.121507,8,1.762691,2.87969,-0.13105,8,1.760135,3.381547,-0.130875,8,1.758862,3.565282,-0.112863,8,1.758897,3.791124,-0.111516
would,would,21,5.371738,1.386808,-0.283812,21,5.371032,2.01799,-0.280364,22,5.365859,2.552101,-0.327589,22,5.385021,3.049299,-0.332248,22,5.370884,3.243203,-0.322079,22,5.37237,3.465717,-0.325407
be,be,17,1.993041,1.130478,-0.25633,17,1.991227,1.75528,-0.26271,18,1.994547,2.326462,-0.225639,18,1.994095,2.80275,-0.246549,18,1.99465,3.012646,-0.230557,18,1.994234,3.232069,-0.233648
worth,worth,18,7.131074,0.621122,-0.509356,18,7.130363,1.249123,-0.506157,19,7.103872,1.871161,-0.455301,19,7.114526,2.320995,-0.481755,19,7.103691,2.559972,-0.452674,19,7.0972,2.799464,-0.432605
the,the,10,4.506853,2.876807,2.25568,9,4.483247,3.46679,2.21767,9,4.471608,4.10071,2.22955,9,4.474633,4.539733,2.21874,10,4.462602,4.881008,2.32104,10,4.470261,5.114409,2.31495
trouble,trouble,21,12.118465,0.226459,-2.65035,21,12.007499,1.156477,-2.31031,21,11.737223,2.18854,-1.91217,21,11.848996,2.435656,-2.10408,21,11.918258,2.545528,-2.33548,21,11.920279,2.750269,-2.36414
of,of,15,5.688172,2.239258,2.0128,20,5.690561,3.090835,1.93436,20,4.068814,1.187183,-1.00136,20,4.26712,1.489009,-0.946647,20,4.299856,1.616793,-0.928735,20,4.381695,1.788966,-0.961303
