praatword,parsedword,lstm256Surprisal,k_10distance,k_10surprisal,k_10entropy,k_10Hdelta,k_20distance,k_20surprisal,k_20entropy,k_20Hdelta,k_40distance,k_40surprisal,k_40entropy,k_40Hdelta,k_60distance,k_60surprisal,k_60entropy,k_60Hdelta,k_80distance,k_80surprisal,k_80entropy,k_80Hdelta,k_100distance,k_100surprisal,k_100entropy,k_100Hdelta
alice,alice,3.1359038353,9,3.259502,0.944836,0.944836,9,3.253403,0.969026,0.969026,9,3.250418,0.984433,0.984433,9,3.249266,0.988766,0.988766,9,3.248716,0.990605,0.990605,9,3.248418,0.992231,0.992231
was,was,2.2846198082,10,1.921215,1.205601,0.260765,10,1.923032,1.234683,0.265657,11,1.924298,1.245457,0.261024,11,1.924782,1.252045,0.263279,11,1.924955,1.2558,0.265195,12,1.92506,1.256781,0.26455
beginning,beginning,5.41496133804,11,5.063349,1.362968,0.157367,11,5.054479,1.429633,0.19495,11,5.044625,1.502444,0.256987,11,5.040813,1.534485,0.28244,12,5.03984,1.544926,0.289126,12,5.038918,1.554206,0.297425
to,to,0.547499656677,12,1.854372,1.799703,0.436735,12,1.824218,1.8816,0.451967,12,1.819876,1.961155,0.458711,12,1.817503,1.994271,0.459786,12,1.81584,2.008259,0.463333,12,1.815138,2.017676,0.46347
get,get,4.82957744598,14,3.821372,1.233822,-0.565881,14,3.844145,1.334984,-0.546616,14,3.844909,1.430984,-0.530171,15,3.846193,1.469981,-0.52429,15,3.846785,1.489066,-0.519193,15,3.847278,1.500184,-0.517492
very,very,4.81132411957,14,5.894235,2.145377,0.911555,14,5.83279,2.334774,0.99979,14,5.807178,2.457446,1.02646,15,5.796119,2.52384,1.05386,15,5.788856,2.554586,1.06552,15,5.783717,2.576044,1.07586
tired,tired,6.57838821411,16,3.508777,0.990545,-1.15483,17,3.524704,1.278363,-1.05641,17,3.556535,1.331898,-1.12555,17,3.562242,1.403798,-1.12004,17,3.565941,1.44614,-1.10845,18,3.568556,1.474873,-1.10117
of,of,0.279072761536,16,2.435853,1.149769,0.159224,16,2.436206,1.457725,0.179362,17,2.431024,1.515276,0.183378,17,2.430791,1.590971,0.187173,17,2.430845,1.633233,0.187093,17,2.430481,1.664782,0.189909
sitting,sitting,8.89672660828,17,8.327638,1.419943,0.270174,17,8.315894,1.753842,0.296117,18,8.294534,1.924022,0.408746,18,8.298195,1.961677,0.370706,18,8.2961,2.012755,0.379522,18,8.291387,2.072344,0.407562
by,by,5.45327186584,19,4.034883,1.314708,-0.105235,19,4.040627,1.627531,-0.126311,19,4.048887,1.767692,-0.15633,20,4.048808,1.814998,-0.146679,20,4.049008,1.866636,-0.146119,20,4.049329,1.924726,-0.147618
her,her,2.75921297073,18,1.996469,1.834435,0.519727,18,1.994263,2.131298,0.503767,18,1.982531,2.267991,0.500299,18,1.978286,2.310336,0.495338,18,1.978029,2.358116,0.49148,18,1.979014,2.413657,0.488931
sister,sister,4.0009355545,21,6.369336,1.811518,-0.022917,21,6.362927,2.101192,-0.030106,21,6.335697,2.376358,0.108367,22,6.330334,2.469614,0.159278,22,6.330176,2.520692,0.162576,22,6.330803,2.565268,0.151611
on,on,7.25322198868,21,5.779985,1.786368,-0.02515,21,5.73118,2.154476,0.053284,21,5.703425,2.501521,0.125163,22,5.681832,2.672879,0.203265,22,5.662138,2.801053,0.280361,22,5.653541,2.869179,0.303911
the,the,1.58189105988,8,1.588077,2.299131,0.512763,8,1.563673,2.647351,0.492875,9,1.540919,2.94506,0.443539,9,1.540617,3.083981,0.411102,9,1.545078,3.187884,0.386831,9,1.544169,3.266015,0.396836
bank,bank,6.13536262512,23,6.270488,1.740911,-0.55822,23,6.280082,2.175717,-0.471634,23,6.299029,2.530244,-0.414816,23,6.298488,2.702675,-0.381306,24,6.298662,2.812483,-0.375401,24,6.300405,2.886683,-0.379332
and,and,2.43613100052,18,2.423355,1.854244,0.113333,18,2.038613,2.477361,0.301644,17,1.890601,2.924919,0.394675,17,1.859621,3.126557,0.423882,17,1.838916,3.265887,0.453404,17,1.829314,3.352258,0.465575
