Order,praatword,distance
1,alice,8.369875
2,was,2.098603
3,beginning,5.666271
4,to,0.081688
5,get,4.190722
6,very,3.456438
7,tired,1.104898
8,of,1.075132
9,sitting,4.958816
10,by,3.435850
11,her,1.530424
12,sister,4.571177
13,on,4.860635
14,the,0.327995
15,bank,6.096464
16,and,1.819400
17,of,7.469432
18,having,5.441385
19,nothing,5.057158
20,to,0.232985
21,do,0.477081
22,once,12.134670
23,or,3.683663
24,twice,1.124071
25,she,3.663662
26,had,2.263653
27,peeped,10.237608
28,into,1.591156
29,the,0.594086
30,book,7.054579
31,her,4.934946
32,sister,6.871419
33,was,2.587317
34,reading,3.540504
35,but,5.056020
36,it,2.768612
37,had,2.176636
38,no,3.532259
39,pictures,8.027176
40,or,3.232150
41,conversations,9.302818
42,in,2.952667
43,it,1.739634
44,and,2.460244
45,what,6.581693
46,is,5.405918
47,the,1.713909
48,use,1.207362
49,of,0.147938
50,a,3.760133
51,book,3.462873
52,thought,7.275320
53,alice,6.760978
54,without,5.911668
55,pictures,11.587881
56,or,2.591608
57,conversations,10.314886
58,so,4.979673
59,she,2.380656
60,was,2.953669
61,considering,9.000244
62,in,5.162449
63,her,1.593878
64,own,2.217689
65,mind,0.227179
66,as,5.112926
67,well,3.070261
68,as,0.196583
69,she,2.411506
70,could,0.907779
71,for,4.019936
72,the,1.655604
73,hot,9.785134
74,day,2.378800
75,made,7.784876
76,her,0.942177
77,feel,2.315024
78,very,2.934233
79,sleepy,5.089231
80,and,0.865385
81,stupid,7.216030
82,whether,8.541452
83,the,3.269699
84,pleasure,8.029762
85,of,0.864916
86,making,5.399054
87,a,1.965304
89,chain,6.211229
90,would,3.211502
91,be,1.349965
92,worth,6.742899
93,the,3.266622
94,trouble,2.544028
95,of,1.981009
96,getting,3.007526
97,up,2.424030
98,and,1.640131
99,picking,8.221433
100,the,3.132166
101,daisies,6.251845
102,when,5.342611
103,suddenly,5.886148
104,a,3.698378
105,white,5.284286
106,rabbit,5.928968
107,with,4.177063
108,pink,7.082584
109,eyes,4.707552
110,ran,5.163586
111,close,7.351149
112,by,2.893505
113,her,2.637947
114,there,3.948738
115,was,0.874872
116,nothing,2.974258
117,so,3.845785
118,very,3.620475
119,remarkable,4.419296
120,in,1.424259
121,that,2.813170
122,nor,5.523066
123,did,3.802547
124,alice,7.539834
125,think,4.171142
126,it,2.028854
127,so,4.564155
128,very,3.098849
129,much,2.876675
130,out,5.983170
131,of,0.299564
132,the,2.045166
133,way,1.240143
134,to,2.254120
135,hear,5.204980
136,the,2.161726
137,rabbit,12.941334
138,say,4.063654
139,to,3.349284
140,itself,5.478806
141,oh,4.661579
142,dear,3.763342
143,oh,4.745709
144,dear,3.567183
145,i,2.498468
146,shall,3.748173
149,late,4.441178
150,when,4.619392
151,she,1.668505
152,thought,5.081766
153,it,3.606659
154,over,2.635288
155,afterwards,7.729196
156,it,2.795530
157,occurred,4.706084
158,to,0.090292
159,her,0.224949
160,that,0.268831
161,she,1.127701
162,ought,4.652702
163,to,0.159498
164,have,1.553734
165,wondered,6.657100
166,at,2.508979
167,this,2.502253
168,but,4.133182
169,at,3.731263
170,the,1.557819
171,time,3.414439
172,it,3.011951
173,all,6.781476
174,seemed,1.581306
175,quite,3.631811
176,natural,1.789417
177,but,6.024618
178,when,3.722933
179,the,2.591849
180,rabbit,10.948465
181,actually,7.712995
182,took,3.718977
183,a,3.272993
184,watch,7.181463
185,out,2.731747
186,of,0.144148
187,its,2.759789
189,POCKET,5.215732
190,and,2.036090
191,looked,5.329649
192,at,1.440452
193,it,0.699560
194,and,2.663193
195,then,3.882168
196,hurried,6.579103
197,on,2.688705
198,alice,11.872869
199,started,5.771909
200,to,2.098196
201,her,3.799217
202,feet,0.187155
203,for,4.744540
204,it,2.853270
205,flashed,7.252914
206,across,2.977574
207,her,0.895693
208,mind,0.602491
209,that,0.702909
210,she,1.114418
211,had,1.677786
212,never,2.640683
213,before,2.961466
214,seen,1.371424
215,a,1.562245
216,rabbit,8.017911
217,with,5.451155
218,either,8.719305
219,a,4.943279
221,pocket,5.251332
222,or,1.123405
223,a,0.897129
224,watch,7.776283
225,to,3.806145
226,take,3.838095
227,out,4.170346
228,of,1.579395
229,it,1.443468
230,and,2.215281
231,burning,12.287037
232,with,3.677731
233,curiosity,6.607714
234,she,3.643642
235,ran,4.452343
236,across,4.433673
237,the,0.725750
238,field,3.794951
239,after,5.817894
240,it,2.707001
241,and,1.727772
242,fortunately,8.507099
243,was,4.368570
244,just,4.350753
245,in,4.400486
246,time,0.263464
247,to,0.299892
248,see,1.765615
249,it,2.310877
250,pop,11.786891
251,down,2.749622
252,a,3.732649
253,large,7.809383
255,hole,5.787270
256,under,6.441662
257,the,0.633776
258,hedge,5.584485
259,in,4.570879
260,another,4.471011
261,moment,0.808180
262,down,9.352645
