Order,praatword,distance
1,alice,8.210831
2,was,2.238188
3,beginning,5.408657
4,to,0.125231
5,get,4.428041
6,very,3.967596
7,tired,1.296804
8,of,1.232920
9,sitting,5.224293
10,by,3.169664
11,her,1.700621
12,sister,4.976394
13,on,5.277943
14,the,0.377085
15,bank,5.827079
16,and,2.070105
17,of,5.749815
18,having,4.226841
19,nothing,5.195116
20,to,0.476032
21,do,0.637182
22,once,10.776646
23,or,2.718304
24,twice,0.048006
25,she,2.641935
26,had,2.584176
27,peeped,9.440151
28,into,2.136828
29,the,0.382601
30,book,6.697842
31,her,5.353422
32,sister,5.967091
33,was,2.712972
34,reading,2.628714
35,but,4.026911
36,it,3.079496
37,had,2.355736
38,no,3.396094
39,pictures,7.656354
40,or,2.892437
41,conversations,7.659595
42,in,3.130312
43,it,2.095426
44,and,2.401761
45,what,5.591594
46,is,5.923630
47,the,1.986464
48,use,1.722312
49,of,0.164988
50,a,3.654013
51,book,1.957405
52,thought,8.979766
53,alice,4.097641
54,without,6.168064
55,pictures,9.623640
56,or,1.467279
57,conversations,6.809824
58,so,4.937301
59,she,2.312815
60,was,2.997796
61,considering,10.452971
62,in,5.358893
63,her,1.539708
64,own,2.530704
65,mind,0.351654
66,as,4.283730
67,well,3.307716
68,as,0.139042
69,she,2.949838
70,could,1.213814
71,for,4.288227
72,the,1.651900
73,hot,9.268935
74,day,2.758792
75,made,8.525984
76,her,1.045090
77,feel,2.365204
78,very,2.692204
79,sleepy,5.378664
80,and,0.986368
81,stupid,6.610346
82,whether,8.914133
83,the,2.589517
84,pleasure,7.079709
85,of,0.649067
86,making,4.521938
87,a,2.528372
89,chain,6.004145
90,would,3.407845
91,be,0.900047
92,worth,5.131536
93,the,3.325193
94,trouble,2.666142
95,of,1.883902
96,getting,2.722964
97,up,2.464539
98,and,1.790679
99,picking,7.462269
100,the,3.154217
101,daisies,6.573219
102,when,4.796013
103,suddenly,5.706291
104,a,2.803836
105,white,5.166326
106,rabbit,3.063720
107,with,3.687193
108,pink,6.756720
109,eyes,4.101110
110,ran,7.017384
111,close,6.893446
