Order,praatword,distance
1,alice,8.048592
2,was,2.287634
3,beginning,5.550308
4,to,0.112280
5,get,4.748480
6,very,4.557693
7,tired,0.587669
8,of,0.943682
9,sitting,6.778373
10,by,2.806257
11,her,2.752754
12,sister,4.818891
13,on,4.948215
14,the,0.590170
15,bank,6.614408
16,and,2.055731
17,of,5.539650
18,having,5.272292
19,nothing,5.259364
20,to,0.439360
21,do,0.562378
22,once,12.734999
23,or,2.330494
24,twice,0.644533
25,she,2.877506
26,had,2.130513
27,peeped,11.382717
28,into,1.277264
29,the,0.723558
30,book,6.918084
31,her,5.031206
32,sister,6.683502
33,was,2.652590
34,reading,3.148999
35,but,4.636255
36,it,3.261369
37,had,2.587467
38,no,2.957977
39,pictures,8.118046
40,or,4.110266
41,conversations,10.295889
42,in,3.824209
43,it,2.561304
44,and,2.804237
45,what,4.885883
46,is,5.614058
47,the,2.329476
48,use,1.520575
49,of,0.096302
50,a,3.281159
51,book,3.401252
52,thought,10.226134
53,alice,6.452187
54,without,6.155293
55,pictures,10.886560
56,or,2.638492
57,conversations,11.412782
58,so,4.940439
59,she,2.105616
60,was,2.750665
61,considering,8.292950
62,in,4.965623
63,her,2.268103
64,own,1.514035
65,mind,0.378180
66,as,3.306821
67,well,3.297389
68,as,0.375284
69,she,3.262543
70,could,1.510186
71,for,3.176487
72,the,1.347332
73,hot,9.042710
74,day,5.003965
75,made,7.956923
76,her,1.025810
77,feel,2.236694
78,very,3.150536
79,sleepy,6.449599
80,and,0.955723
81,stupid,7.089390
82,whether,9.331264
83,the,2.974361
84,pleasure,8.187193
85,of,0.814137
86,making,4.746140
87,a,2.341654
89,chain,5.447539
90,would,3.353793
91,be,1.341093
92,worth,5.947777
93,the,2.801683
94,trouble,2.935924
95,of,1.001249
96,getting,4.023927
97,up,3.354917
98,and,1.804392
99,picking,7.544829
100,the,2.717733
101,daisies,11.234760
102,when,6.362482
103,suddenly,6.301369
104,a,3.505117
105,white,6.417633
106,rabbit,7.102650
107,with,4.775326
108,pink,5.404640
109,eyes,3.878576
110,ran,6.432186
111,close,7.875608
112,by,4.789778
113,her,2.370481
114,there,4.011642
115,was,0.761847
116,nothing,2.971340
117,so,3.638847
118,very,4.466673
119,remarkable,4.873454
120,in,1.255060
121,that,3.102296
122,nor,10.658038
123,did,4.048245
124,alice,9.357550
125,think,4.492659
126,it,2.365164
127,so,3.064564
128,very,4.737450
129,much,4.040222
130,out,5.626284
131,of,0.108130
132,the,1.742281
133,way,2.805838
134,to,2.957581
135,hear,5.315870
136,the,1.873853
137,rabbit,10.663590
138,say,3.284448
139,to,2.645037
140,itself,7.394458
141,oh,6.484815
142,dear,3.499112
143,oh,4.520454
144,dear,3.765679
145,i,2.495077
146,shall,3.836250
149,late,4.747953
150,when,4.629569
151,she,1.754469
152,thought,5.082510
153,it,3.685411
154,over,1.952127
155,afterwards,7.167509
156,it,2.724209
157,occurred,5.092637
158,to,0.079903
159,her,0.241835
160,that,0.220930
161,she,1.242212
162,ought,4.308413
163,to,0.268517
164,have,1.616116
165,wondered,7.300330
166,at,2.813606
167,this,2.403869
168,but,3.900167
169,at,5.011975
170,the,1.630823
171,time,3.920464
172,it,2.378236
173,all,5.980879
174,seemed,1.366692
175,quite,4.000612
176,natural,1.186539
177,but,5.944978
178,when,3.524686
179,the,2.324651
180,rabbit,9.515635
181,actually,8.516469
182,took,4.738842
183,a,2.847189
184,watch,9.323206
185,out,4.287256
186,of,0.327429
187,its,2.958056
189,POCKET,4.372742
190,and,1.925014
191,looked,5.185666
192,at,1.875930
193,it,0.983317
194,and,3.814067
195,then,3.316145
196,hurried,6.707153
197,on,3.192177
198,alice,12.699538
199,started,5.763733
200,to,2.661396
201,her,4.527372
202,feet,0.450070
203,for,5.455675
204,it,3.987532
205,flashed,6.588882
206,across,4.063998
207,her,0.707174
208,mind,1.673349
209,that,1.477081
210,she,0.894991
211,had,1.955591
212,never,2.651172
213,before,3.362968
214,seen,1.075747
215,a,2.529889
216,rabbit,7.280956
217,with,4.035390
218,either,9.544882
219,a,2.538238
221,pocket,5.340130
222,or,1.488566
223,a,0.372883
224,watch,9.248785
225,to,4.171918
226,take,3.832436
227,out,4.086189
228,of,1.390321
229,it,2.487471
230,and,2.751781
231,burning,14.936534
232,with,2.739645
233,curiosity,5.180086
234,she,4.779569
235,ran,5.392453
236,across,4.067672
237,the,0.421234
238,field,3.809509
239,after,5.293726
240,it,2.631940
241,and,1.533635
242,fortunately,10.052141
243,was,3.055935
244,just,4.655738
245,in,3.613136
246,time,0.727890
247,to,0.667913
248,see,2.058460
249,it,2.514949
250,pop,12.469271
251,down,2.742641
252,a,5.107023
253,large,7.624725
255,hole,5.223271
256,under,6.878011
257,the,0.831520
258,hedge,4.760015
259,in,4.606282
260,another,4.182101
261,moment,0.851631
262,down,9.850534
263,went,6.451591
264,alice,9.259975
265,after,5.197912
266,it,5.645307
267,never,10.130624
268,once,5.073614
269,considering,12.567088
270,how,2.559830
271,in,5.851174
272,the,1.149990
273,world,0.893775
274,she,1.580956
275,was,2.189735
276,to,2.902178
277,get,3.373265
278,out,3.225370
279,again,5.606396
280,the,2.782145
282,hole,4.392950
283,went,5.498500
284,straight,4.692331
285,on,2.788288
286,like,6.269043
287,a,0.701808
288,tunnel,11.746579
289,for,5.468533
290,some,3.709925
291,way,5.317448
292,and,2.675532
293,then,1.719545
294,dipped,8.878584
295,suddenly,7.861035
296,down,2.727771
297,so,7.070237
298,suddenly,4.908696
299,that,0.416162
300,alice,8.902813
301,had,3.744785
302,not,2.827490
303,a,4.464334
304,moment,2.563267
305,to,1.196348
306,think,3.880676
307,about,2.771483
308,stopping,9.463016
309,herself,5.307207
310,before,4.742911
311,she,1.404478
312,found,4.055017
313,herself,0.621452
314,falling,8.489464
315,down,3.352364
320,a,4.400383
321,very,5.415945
322,deep,4.094513
323,well,9.066166
324,either,8.975829
325,the,1.972288
326,well,9.779737
327,was,4.612334
328,very,4.680547
329,deep,7.252009
330,or,1.878344
331,she,4.696342
332,fell,7.331612
333,very,5.986088
334,slowly,3.742170
335,for,4.330217
336,she,1.934738
337,had,1.690645
338,plenty,7.937962
339,of,0.350765
340,time,0.753119
341,as,6.807619
342,she,1.535480
343,went,4.034470
344,down,3.211148
345,to,2.165905
346,look,5.865214
347,about,4.929676
348,her,1.015596
349,and,2.188016
350,to,4.086058
351,wonder,5.408571
352,what,1.762798
353,was,2.178219
354,going,2.191569
355,to,1.768490
356,happen,0.109026
357,next,3.118611
358,first,7.697642
359,she,2.284982
360,tried,5.484789
361,to,0.324556
362,look,4.772330
363,down,4.161661
364,and,3.617638
365,make,6.016518
366,out,3.662409
367,what,1.860161
368,she,1.071105
369,was,1.727552
370,coming,5.688285
371,to,0.981613
372,but,3.160112
373,it,2.500991
374,was,0.432623
375,too,3.459728
376,dark,3.169753
377,to,1.191772
378,see,2.212580
379,anything,2.987366
380,then,7.356311
381,she,1.986774
382,looked,3.471635
383,at,1.286207
384,the,1.397374
385,sides,9.343159
386,of,0.462067
387,the,0.312527
388,well,6.925595
389,and,3.990635
390,noticed,7.515186
391,that,0.858927
392,they,3.689909
393,were,0.540325
394,filled,7.061266
395,with,0.372517
396,cupboards,11.341928
397,and,1.270523
398,book-shelves,4.895060
399,here,7.252180
400,and,0.986897
401,there,0.147352
402,she,4.730806
403,saw,3.514937
404,maps,15.245031
405,and,1.067152
406,pictures,5.547615
407,hung,8.728292
409,on,4.554355
410,pegs,6.903638
411,she,2.420359
412,took,4.966339
413,down,4.653643
414,a,2.397949
415,jar,6.569859
416,from,3.282341
417,one,3.171684
418,of,0.505863
419,the,0.213137
420,shelves,6.372204
421,as,5.359467
422,she,0.963007
423,passed,3.435743
424,it,2.406383
425,was,4.379511
426,labelled,8.625853
427,orange,12.706739
428,marmalade,11.547161
429,but,4.078386
430,to,5.868362
431,her,2.530113
432,great,4.206182
433,disappointment,6.334689
434,it,2.535240
435,was,0.642876
436,empty,5.945498
437,she,3.536388
438,did,3.403683
439,not,0.158533
440,like,3.464111
441,to,1.410784
442,drop,7.492801
443,the,2.059214
444,jar,7.098488
445,for,4.742041
446,fear,5.400037
447,of,0.771442
448,killing,9.039897
449,somebody,6.087901
451,so,5.247326
453,managed,8.308590
454,to,0.934140
455,put,3.749740
456,it,0.730637
457,into,1.862122
458,one,4.155596
459,of,1.234152
460,the,0.790215
461,cupboards,7.569886
462,as,4.225660
463,she,1.532989
464,fell,6.958778
465,past,8.820724
466,it,1.557345
467,well,4.859489
468,thought,9.693699
469,alice,8.444550
470,to,4.041518
471,herself,1.196971
472,after,4.686778
473,such,5.502098
474,a,0.526579
475,fall,10.626606
476,as,2.316924
477,this,2.262863
478,i,6.350983
479,shall,3.545485
480,think,4.878622
481,nothing,7.572615
482,of,1.232542
483,tumbling,18.939112
484,down,3.007181
485,stairs,7.691428
486,how,5.022489
487,brave,8.323198
488,they,3.132018
489,'ll,6.158063
490,all,5.299871
491,think,3.615801
492,me,4.564651
493,at,5.655653
494,home,1.694111
495,why,5.034443
496,i,3.231957
497,would,4.286617
498,n't,0.369772
499,say,3.958508
500,anything,1.506893
501,about,1.483018
502,it,0.608635
503,even,6.051085
504,if,0.533604
505,i,0.976326
506,fell,8.235390
507,off,4.491564
508,the,3.434038
509,top,5.705493
510,of,0.313145
511,the,1.276670
512,house,4.322676
513,which,7.600273
514,was,2.056358
515,very,5.225317
516,likely,4.751402
517,true,6.261087
518,down,8.194143
519,down,5.587062
520,down,4.871529
521,would,6.539423
522,the,3.682112
523,fall,8.525455
524,never,7.784925
525,come,3.404603
