Order,praatword,distance,surprisal
1,alice,9,10.933558
2,was,10,3.846393
3,beginning,11,9.527139
4,to,12,0.578297
5,get,14,4.280336
6,very,15,6.224706
7,tired,17,3.720216
8,of,17,1.503267
9,sitting,18,6.720375
10,by,19,5.912869
11,her,20,2.913640
12,sister,21,6.311539
13,on,21,4.031126
14,the,9,0.952074
15,bank,21,8.299327
16,and,23,2.574335
17,of,20,7.109711
18,having,21,7.398671
19,nothing,23,5.746539
20,to,16,0.875812
21,do,27,0.455663
22,once,28,8.915505
23,or,29,8.165724
24,twice,19,2.887722
25,she,27,2.824071
26,had,10,3.248456
27,peeped,7,4.636812
28,into,13,5.006890
29,the,8,1.379360
30,book,14,5.848049
31,her,14,6.736028
32,sister,16,6.021536
33,was,16,3.129027
34,reading,17,5.939193
35,but,18,5.795267
36,it,19,3.445485
37,had,20,3.737528
38,no,9,2.846558
39,pictures,12,9.633660
40,or,12,4.073516
41,conversations,9,6.848143
42,in,14,3.308893
43,it,14,5.754950
44,and,15,3.580110
45,what,9,5.717773
46,is,16,3.429270
47,the,7,2.507885
48,use,16,7.624993
49,of,16,0.153601
50,a,8,2.102038
51,book,18,5.016646
52,thought,18,10.125078
53,alice,15,12.400603
54,without,18,8.586966
55,pictures,18,8.660677
56,or,19,3.137670
57,conversations,19,8.088458
58,so,9,5.764300
59,she,10,4.559111
60,was,10,2.728086
61,considering,12,8.469558
62,in,9,5.748221
63,her,10,4.487339
64,own,13,3.334159
65,mind,13,4.240846
66,as,11,4.468041
67,well,14,3.079296
68,as,12,0.259226
69,she,12,5.220591
70,could,16,2.657625
71,for,15,5.246138
72,the,10,1.831297
73,hot,18,8.657729
74,day,18,5.179629
75,made,18,9.034384
76,her,17,6.533116
77,feel,21,4.762396
78,very,21,3.945200
79,sleepy,22,9.037265
80,and,22,2.823315
81,stupid,19,7.217770
82,whether,22,8.466810
83,the,6,3.084328
84,pleasure,9,9.011440
85,of,21,1.367921
86,making,9,4.669892
87,a,7,2.115925
89,chain,5,3.644123
90,would,25,4.424448
91,be,21,1.064378
92,worth,22,5.856349
93,the,11,2.358608
94,trouble,24,9.183623
95,of,24,3.055473
96,getting,25,5.404148
97,up,27,4.456998
98,and,28,3.114095
99,picking,27,6.042807
100,the,12,2.399402
101,daisies,5,3.272326
102,when,29,6.054946
103,suddenly,27,9.674996
104,a,7,4.100090
105,white,24,6.452267
106,rabbit,31,4.604734
107,with,31,5.525412
108,pink,32,8.061063
109,eyes,33,3.081199
110,ran,33,6.423480
111,close,31,7.159974
112,by,33,6.571243
113,her,30,4.713840
114,there,9,4.681178
115,was,10,1.864803
116,nothing,10,4.023597
117,so,12,4.663083
118,very,13,6.319127
119,remarkable,14,6.614359
120,in,14,2.848137
121,that,14,4.118434
122,nor,15,10.123057
123,did,9,2.385700
124,alice,9,10.316536
125,think,12,4.310998
126,it,11,2.613033
127,so,12,8.097040
128,very,12,7.421007
129,much,12,1.815323
130,out,13,7.519962
131,of,12,1.197764
132,the,8,1.340613
133,way,15,3.708757
134,to,15,3.131568
135,hear,17,6.145580
136,the,6,1.848074
137,rabbit,19,9.203055
138,say,19,7.589275
139,to,20,3.643144
140,itself,22,11.578923
141,oh,21,8.280716
142,dear,20,8.908062
143,oh,9,8.480871
144,dear,10,8.879885
145,i,9,3.761499
146,shall,11,7.966065
149,late,12,8.764738
150,when,9,5.170103
151,she,10,3.735453
152,thought,12,6.763698
153,it,12,2.813094
