AUDIOTEXT,Trigger,segment,tmin,Order,LexFunc
Alice,1,1,0.046,1,1
was,1,1,0.562721,2,0
beginning,1,1,0.784543,3,1
to,1,1,1.256929,4,0
get,1,1,1.352925,5,0
very,1,1,1.616327,6,1
tired,1,1,2.310749,7,1
of,1,1,2.799918,8,0
sitting,1,1,2.938712,9,1
by,1,1,3.30449,10,0
her,1,1,3.484082,11,0
sister,1,1,3.654596,12,1
on,1,1,4.106667,13,0
the,1,1,4.274286,14,0
bank,1,1,4.398799,15,1
and,1,1,4.785961,16,0
of,1,1,4.908844,17,0
having,1,1,5.034329,18,1
nothing,1,1,5.435647,19,1
to,1,1,5.890613,20,0
do,1,1,6.051306,21,1
once,1,1,7.147755,22,1
or,1,1,7.380186,23,0
twice,1,1,7.4995,24,1
she,1,1,7.957925,25,0
,99,,,26,0
peeped,1,1,8.261225,27,1
into,1,1,8.560545,28,0
the,1,1,8.776055,29,0
book,1,1,8.88381,30,1
her,1,1,9.231021,31,0
sister,1,1,9.31483,32,1
was,1,1,9.709932,33,0
reading,1,1,9.961361,34,1
but,1,1,10.811429,35,0
it,1,1,10.926947,36,0
had,1,1,11.014966,37,0
no,1,1,11.29034,38,0
pictures,1,1,11.422041,39,1
or,1,1,11.928449,40,0
conversations,1,1,12.033452,41,1
in,1,1,12.882923,42,0
it,1,1,13.013482,43,0
and,1,1,13.777672,44,0
what,1,1,13.943927,45,0
’s,1,1,14.110704,46,0
the,1,1,14.226852,47,0
use,1,1,14.407012,48,1
of,1,1,14.726531,49,0
a,1,1,14.822313,50,0
book,1,1,15.034115,51,1
thought,1,1,15.430794,52,1
Alice,1,1,15.847213,53,1
without,1,1,16.232225,54,0
pictures,1,1,16.567652,55,1
or,1,1,17.109154,56,0
conversation,1,1,17.266659,57,1
So,1,1,19.526536,58,0
she,1,1,19.721958,59,0
was,1,1,19.926131,60,0
considering,1,1,20.17415,61,1
in,1,1,20.928436,62,0
her,1,1,21.024218,63,0
own,1,1,21.269652,64,0
mind,1,1,21.50313,65,1
as,1,1,22.165075,66,0
well,1,1,22.413062,67,0
as,1,1,22.641249,68,
she,1,1,22.736327,69,0
could,1,1,22.927891,70,0
for,1,1,23.382857,71,0
the,1,1,23.51412,72,0
hot,1,1,23.598368,73,1
day,1,1,23.897687,74,1
made,1,1,24.161089,75,1
her,1,1,24.364626,76,0
feel,1,1,24.483259,77,1
very,1,1,24.735783,78,1
sleepy,1,1,25.059048,79,1
and,1,1,25.541189,80,0
stupid,1,1,25.680794,81,1
whether,1,1,26.878912,82,0
the,1,1,27.142313,83,0
pleasure,1,1,27.314162,84,1
of,1,1,27.776871,85,0
making,1,1,27.884626,86,1
a,1,1,28.255783,87,0
daisy,1,1,28.376346,88,1
chain,1,1,28.818504,89,1
would,1,1,29.297415,90,0
be,1,1,29.477007,91,0
worth,1,1,29.608708,92,1
the,1,1,29.872109,93,0
trouble,1,1,29.95905,94,1
of,1,1,30.36463,95,0
getting,1,1,30.458776,96,1
up,1,1,30.840804,97,0
and,1,1,31.021497,98,0
picking,1,1,31.177122,99,1
the,1,1,31.512381,100,0
daisies,1,1,31.586956,101,1
when,1,1,32.833264,102,0
suddenly,1,1,33.035638,103,1
a,1,1,34.074558,104,0
White,1,1,34.190765,105,1
Rabbit,1,1,34.565443,106,1
with,1,1,34.972517,107,0
pink,1,1,35.140136,108,1
eyes,1,1,35.511293,109,1
ran,1,1,35.945261,110,1
close,1,1,36.157823,111,1
by,1,1,36.564898,112,0
her,1,1,36.768436,113,
There,1,1,38.468572,114,0
was,1,1,38.632328,115,0
nothing,1,1,38.80381,116,1
so,1,1,39.174966,117,0
very,1,1,39.468477,118,1
remarkable,1,1,40.04898,119,1
in,1,1,40.773225,120,0
that,1,1,40.934966,121,0
nor,1,1,41.820953,122,0
did,1,1,42.042964,123,0
Alice,1,1,42.204082,124,1
think,1,1,42.611157,125,1
it,1,1,42.802721,126,0
so,1,1,42.900757,127,0
very,1,1,43.133433,128,1
much,1,1,43.473198,129,1
out,1,1,43.784524,130,0
of,1,1,43.954431,131,0
the,1,1,44.059864,132,0
way,1,1,44.155647,133,1
to,1,1,44.466939,134,0
hear,1,1,44.632655,135,1
the,1,1,44.802177,136,0
Rabbit,1,1,44.909932,137,1
say,1,1,45.258174,138,1
to,1,1,45.496599,139,0
itself,1,1,45.689575,140,0
Oh,1,1,46.805793,141,0
dear,1,1,46.935658,142,1
Oh,1,1,47.651701,143,0
dear,1,1,47.771429,144,1
I,1,1,48.307503,145,0
shall,1,1,48.372361,146,0
be,1,1,48.573606,147,0
,99,,,148,1
late,1,1,48.718395,149,1
when,1,1,50.06082,150,0
she,1,1,50.180945,151,0
thought,1,1,50.361373,152,1
it,1,1,50.602707,153,0
over,1,1,50.724997,154,0
afterwards,1,1,51.051973,155,1
it,1,1,51.722449,156,0
occurred,1,1,51.818232,157,1
to,1,1,52.213334,158,0
her,1,1,52.333062,159,0
that,1,1,52.553259,160,0
she,1,1,52.92836,161,0
ought,1,1,53.150214,162,0
to,1,1,53.386667,163,0
have,1,1,53.557126,164,0
wondered,1,1,53.793742,165,1
at,1,1,54.12898,166,0
this,1,1,54.368436,167,0
but,1,1,54.691701,168,0
at,1,1,54.823402,169,0
the,1,1,55.050885,170,0
time,1,1,55.146667,171,1
it,1,1,55.626219,172,0
all,1,1,55.734441,173,0
seemed,1,1,55.885951,174,1
quite,1,1,56.195464,175,1
natural,1,1,56.439728,176,1
but,1,2,0.479839572,177,0
when,1,2,0.592424402,178,0
the,1,2,0.810806402,179,0
Rabbit,1,2,0.912952402,180,1
actually,1,2,1.415810402,181,1
took,1,2,1.918667402,182,1
a,1,2,2.385605402,183,0
watch,1,2,2.557777402,184,1
out,1,2,3.211728402,185,0
of,1,2,3.431803402,186,0
its,1,2,3.595218402,187,0
waistcoat,1,2,3.790771402,188,1
pocket,1,2,4.384907402,189,1
and,1,2,5.637331402,190,0
looked,1,2,5.747717402,191,1
at,1,2,6.073224402,192,0
it,1,2,6.286257402,193,0
and,1,2,6.887374402,194,0
then,1,2,6.992943402,195,0
hurried,1,2,7.150775402,196,1
on,1,2,7.541223402,197,0
Alice,1,2,8.467782402,198,1
started,1,2,8.946694402,199,1
to,1,2,9.365741402,200,0
her,1,2,9.557306402,201,0
feet,1,2,9.696188402,202,1
for,1,2,10.1080544,203,0
it,1,2,10.3256874,204,0
flashed,1,2,10.4425664,205,1
across,1,2,10.8503674,206,0
her,1,2,11.3053334,207,0
mind,1,2,11.3771704,208,1
that,1,2,12.1913204,209,0
she,1,2,12.3150514,210,0
’d,1,2,12.4278374,211,0
never,1,2,12.5354954,212,1
before,1,2,12.9096874,213,1
seen,1,2,13.3209554,214,1
a,1,2,13.7505944,215,0
rabbit,1,2,13.8315924,216,1
with,1,2,14.2027484,217,0
either,1,2,14.3713834,218,0
a,1,2,14.7563734,219,0
waistcoat,1,2,14.8570194,220,1
pocket,1,2,15.2922724,221,1
or,1,2,15.8430204,222,0
a,1,2,16.1249724,223,0
watch,1,2,16.1782584,224,1
to,1,2,16.5853334,225,0
take,1,2,16.7050614,226,1
