Order,praatword,distance,surprisal
1,alice,9,10.852302
2,was,11,4.249450
3,beginning,11,8.715220
4,to,11,0.347386
5,get,14,3.573190
6,very,14,6.334659
7,tired,15,3.845916
8,of,15,1.184141
9,sitting,16,6.126561
10,by,18,5.170954
11,her,16,2.942575
12,sister,20,5.632649
13,on,20,4.064235
14,the,9,1.057113
15,bank,20,8.114016
16,and,22,2.499687
17,of,20,8.713439
18,having,22,6.467978
19,nothing,23,5.886410
20,to,15,0.759947
21,do,26,0.377373
22,once,27,9.050607
23,or,25,6.545104
24,twice,25,1.377513
25,she,23,6.905717
26,had,23,3.786598
27,peeped,13,4.960039
28,into,24,5.005297
29,the,9,1.290762
30,book,26,5.623376
31,her,22,7.028328
32,sister,22,5.304672
33,was,22,4.350738
34,reading,17,5.771683
35,but,18,6.550426
36,it,19,5.723919
37,had,20,4.453779
38,no,13,3.538608
39,pictures,16,9.154614
40,or,16,4.030357
41,conversations,15,8.435866
42,in,15,3.417461
43,it,16,4.930401
44,and,17,3.879740
45,what,12,5.316920
46,is,16,3.148087
47,the,7,2.248715
48,use,13,7.574981
49,of,13,0.212463
50,a,8,2.241523
51,book,15,4.572859
52,thought,15,10.578644
53,alice,16,11.421567
54,without,18,8.400229
55,pictures,18,10.390416
56,or,17,3.499336
57,conversations,17,8.580604
58,so,9,5.653271
59,she,10,4.544246
60,was,10,2.922951
61,considering,12,8.329589
62,in,9,5.917451
63,her,10,3.775702
64,own,13,3.076942
65,mind,14,4.227781
66,as,11,4.767344
67,well,12,2.576069
68,as,12,0.863525
69,she,10,3.728193
70,could,15,2.269284
71,for,15,4.953005
72,the,8,1.759528
73,hot,18,8.842520
74,day,18,4.731553
75,made,18,8.677652
76,her,17,4.719192
77,feel,21,3.841013
78,very,18,4.197459
79,sleepy,19,8.432498
80,and,19,2.566893
81,stupid,17,7.197723
82,whether,19,8.233785
83,the,7,3.156693
84,pleasure,19,9.661263
85,of,21,0.871674
86,making,19,4.511559
87,a,7,1.782364
89,chain,5,3.283963
90,would,24,3.975405
91,be,20,0.873022
92,worth,21,6.279772
93,the,11,2.146472
94,trouble,23,8.228866
95,of,23,3.348110
96,getting,24,5.184288
97,up,26,4.675999
98,and,27,3.559130
99,picking,26,6.500432
100,the,13,2.614510
101,daisies,5,3.110277
102,when,27,6.118728
103,suddenly,28,9.273651
104,a,7,3.721730
105,white,29,6.186216
106,rabbit,29,6.050920
107,with,30,4.836444
108,pink,30,7.247634
109,eyes,31,3.002580
