Order,praatword,distance,surprisal
1,alice,9,8.441504
2,was,10,2.191757
3,beginning,11,5.547907
4,to,12,0.121541
5,get,14,4.463272
6,very,12,3.629644
7,tired,16,1.991634
8,of,16,1.198934
9,sitting,17,5.989005
10,by,19,3.250748
11,her,15,1.989134
12,sister,21,4.877799
13,on,21,4.425979
14,the,6,0.583206
15,bank,23,5.111863
16,and,19,2.048256
17,of,19,6.421595
18,having,21,6.123745
19,nothing,22,5.242605
20,to,11,0.704632
21,do,22,0.548227
22,once,27,9.952080
23,or,18,2.758747
24,twice,18,0.007412
25,she,16,1.321963
26,had,10,2.154209
27,peeped,13,10.343765
28,into,12,1.704761
29,the,6,0.554814
30,book,14,7.322148
31,her,12,5.995040
32,sister,15,4.701415
33,was,17,2.885599
34,reading,17,2.993857
35,but,16,5.267106
36,it,19,3.611412
37,had,11,2.942557
38,no,6,3.184119
39,pictures,12,9.640621
40,or,12,3.883930
41,conversations,12,9.057230
42,in,12,2.776101
43,it,13,2.943941
44,and,14,2.213270
45,what,9,6.010149
46,is,14,4.799928
47,the,7,1.625288
48,use,16,1.650942
49,of,16,0.412173
50,a,8,3.186000
51,book,15,5.515566
52,thought,15,10.339473
53,alice,15,10.467564
54,without,12,6.391550
55,pictures,11,12.952748
56,or,12,2.612189
57,conversations,12,7.170654
58,so,9,5.099450
59,she,10,2.153758
60,was,10,2.899743
61,considering,12,8.614744
62,in,12,4.503976
63,her,10,2.029131
64,own,14,2.068110
65,mind,14,1.571137
66,as,13,4.489771
67,well,15,3.082699
68,as,9,0.099714
69,she,14,2.437202
70,could,16,1.228954
71,for,16,4.587083
72,the,9,1.824051
73,hot,19,8.726204
74,day,19,3.436134
75,made,19,7.839760
76,her,12,0.984503
77,feel,19,2.141463
78,very,16,2.860698
79,sleepy,22,4.982238
80,and,18,1.667723
81,stupid,21,7.490388
82,whether,22,7.839691
83,the,7,2.790929
84,pleasure,10,7.784044
85,of,19,0.798823
86,making,9,4.241624
87,a,6,2.079636
89,chain,12,5.091325
90,would,27,3.741832
91,be,23,1.482680
92,worth,24,4.657186
93,the,10,3.209458
94,trouble,26,3.474943
95,of,24,2.691732
96,getting,27,3.466916
97,up,29,3.389973
98,and,22,2.376509
99,picking,25,6.582692
100,the,8,2.514557
101,daisies,27,7.286616
102,when,26,6.013148
103,suddenly,28,7.442051
104,a,6,3.438630
105,white,9,5.707653
106,rabbit,29,6.299682
107,with,28,5.034768
108,pink,16,6.007509
109,eyes,28,3.894460
110,ran,28,5.055292
111,close,27,6.819685
112,by,25,3.833654
113,her,20,1.270361
114,there,9,4.022244
115,was,11,0.864548
116,nothing,9,2.858356
117,so,8,4.389518
118,very,13,4.074113
119,remarkable,13,4.397299
120,in,13,1.374554
121,that,8,3.429783
122,nor,15,6.878035
123,did,9,2.032017
124,alice,11,8.049020
125,think,11,3.998771
126,it,11,2.796057
127,so,9,3.952029
128,very,14,3.927191
129,much,14,2.049832
130,out,14,5.870758
131,of,12,0.308747
132,the,8,1.470933
133,way,15,1.719390
134,to,12,3.124687
135,hear,17,4.940283
136,the,8,1.964993
137,rabbit,15,10.116934
138,say,15,3.420095
139,to,16,3.043348
140,itself,18,7.981219
141,oh,18,5.902480
142,dear,18,4.053339
143,oh,8,4.883676
144,dear,11,4.520564
145,i,9,2.456313
146,shall,11,3.888846
149,late,12,5.147789
150,when,9,4.717968
151,she,10,1.721628
152,thought,12,4.959493
153,it,12,3.162516
154,over,13,2.326638
155,afterwards,13,7.009750
156,it,13,3.237465
157,occurred,15,4.635156
158,to,12,0.147971
159,her,7,0.168667
160,that,9,0.183195
161,she,9,1.273593
162,ought,14,4.308374
163,to,9,0.270891
164,have,16,1.633758
165,wondered,17,7.582704
166,at,16,2.368615
167,this,19,3.009216
168,but,19,4.656886
169,at,9,4.552496
170,the,6,1.427635
171,time,20,3.029343
172,it,18,3.216473
173,all,11,6.023609
174,seemed,12,2.519140
175,quite,14,4.757068
176,natural,13,2.465511
177,but,13,5.019648
178,when,13,4.228784
179,the,8,2.295597
180,rabbit,9,9.979568
181,actually,12,7.432161
182,took,13,3.782622
183,a,5,2.759416
184,watch,13,7.646183
185,out,13,3.574645
186,of,13,0.021646
187,its,15,3.904598
189,POCKET,7,4.481455
190,and,15,2.041688
191,looked,15,4.815972
192,at,11,1.293484
